participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,CLIENT_start,TIME_start,TIME_end,TIME_total
s.301f68db-cdcf-481a-b224-a3378191ae3d.txt,31022025,23,3,1,"Soziologie, Psychologie, 6",1,"","",Emo_Ident2.2025-02-18-1446.data.301f68db-cdcf-481a-b224-a3378191ae3d.txt,1,Die Instruktion war verständlich. Ich war häufig unsicher bei der Entscheidung ob es eine oder verschiedene personen waren,"Wenn es eine ruhigere Betonung gab, war es einfacher sie mit der nicht ganz so erregten abzugleichen. Ansonsten hatte ich den Eindruck, dass es phasen gab, wo es viele Beispiele mit unterschiedlichen Personen gab und Phasen mit den gleichen.",A,W,H,5,9,H,"",2025-01-18-15-37,2025-02-18-14-37,"",""
s.31e6e998-92aa-4574-8a44-af67f83dff88.txt,31022025,21,1,1,"Psychologie B.Sc. HF, 1",1,"","",Emo_Ident2.2025-02-14-1415.data.31e6e998-92aa-4574-8a44-af67f83dff88.txt,1,"am Anfang wusste ich erst nicht mehr genau, welche Taste ich wofür drücken musste","",A,I,J,4,9,Ä,"",2025-01-14-15-05,2025-02-14-14-05,2025-02-14-14-17,12
s.38d9062d-e7bc-48cd-93f1-f033aab0eff5.txt,31022025,23,1,1,"Informatik/Psychologie, 7",1,"","",Emo_Ident2.2025-02-14-1647.data.38d9062d-e7bc-48cd-93f1-f033aab0eff5.txt,1,Instruktionen waren verständlich,"- die erste Stimme hat einen Charakter vorgebeben, gegen den ich dann die zweite Stimme abgeglichen habe~~- z.T. war auch weniger die Stimmfarbe, als viel mehr die Betonung und der Sprechfluss ausschlaggebend",H,T,Z,8,3,A,"",2025-01-14-17-36,2025-02-14-16-36,2025-02-14-17-06,30
s.3c341b8d-abeb-4224-8312-62be0af5451d.txt,"","","","","","","","","","","","","","","","","","","",2025-01-14-14-41,2025-02-14-13-41,"",""
s.4a32bc08-e081-423d-9507-b4d34549f7d5.txt,"","","","","","","","","","","","","","","","","","","",2025-01-13-14-43,2025-02-13-13-43,"",""
s.4f826de5-f154-4af1-8c3b-5ac359427ba5.txt,31022025,23,1,1,Psychologie HF,1,"","",Emo_Ident2.2025-02-14-1338.data.4f826de5-f154-4af1-8c3b-5ac359427ba5.txt,1,alles war verständlich,"besonders bei den Frauenstimmen habe ich versucht zu überlegen, ob die Stimmen zur selben Person gehören, aber digital verlagsamt wurden",E,R,N,1,7,I,"",2025-01-14-14-29,2025-02-14-13-29,2025-02-14-13-41,12
s.52f51f09-3815-42aa-b4b7-12c3a81ff4be.txt,"","","","","","","","","","","","","","","","","","","",2025-01-14-16-48,2025-02-14-15-48,"",""
s.56f50fdb-fb32-41fa-8e31-566bc7199829.txt,31022025,23,3,1,"Psychologie, 7",1,"","",Emo_Ident2.2025-02-15-1131.data.56f50fdb-fb32-41fa-8e31-566bc7199829.txt,1,Instruktionen waren verständlich,"keine wirkliche Strategie, auf Ähnlichkeit in Stimmfarbe und Ausdruck geachtet",L,E,B,6,0,N,Bei mir hat das ausprobieren der Kopfhörer (links und rechts) auf der ersten Seite nicht funktioniert. Aber im Experiment war alles in Ordnung. Nur falls das Problem bei den Testknöpfen und nicht bei mir lag,2025-01-15-12-24,2025-02-15-11-24,2025-02-15-11-37,13
s.58b0de74-3718-424c-a2b7-0610a183821e.txt,31022025,29,2,1,"B.Sc. Psychologie, 6.FS",1,"","",Emo_Ident2.2025-02-20-1411.data.58b0de74-3718-424c-a2b7-0610a183821e.txt,1,"","",A,H,K,2,2,L,"",2025-01-20-15-06,2025-02-20-14-06,2025-02-20-14-12,6
s.5b486245-e983-4678-b7d3-266adae15f36.txt,31022025,23,1,1,HF B.SC. Psycholgie 5. Semester,1,"","",Emo_Ident2.2025-02-14-1315.data.5b486245-e983-4678-b7d3-266adae15f36.txt,1,ich konnte gut folgen. war sehr gut erklärt,"ich hab oft die augen geschlossen um mich besser konzentrieren zu können, ich habe nach ähnlichkeiten in der stimme und aussprache gehört, oder auf die art der aufnahme geachtet ",L,N,D,4,2,N,"",2025-01-14-14-07,2025-02-14-13-07,2025-02-14-13-18,11
s.6253f697-6392-4515-b81e-5f8c9241707d.txt,31022025,21,1,1,Psychologie,1,"","","","","","","","","","","","","",2025-01-14-14-41,2025-02-14-13-41,"",""
s.7eb14090-05eb-419c-8330-dc4df50b021b.txt,31022025,19,1,1,"HF Psychologie, 1. Fachsemester",1,"","",Emo_Ident2.2025-02-15-0904.data.7eb14090-05eb-419c-8330-dc4df50b021b.txt,1,Alles war gut verständlich,Nach einigen Durchläufen habe ich mehr auf die Klangfarbe geachtet und somit vielleicht öfter die zwei Hörproben dersselben Person zugeordnet,A,L,Z,3,3,O,"",2025-01-15-09-57,2025-02-15-08-57,2025-02-15-09-08,11
s.8047072b-06b7-44d4-b44f-76f38aa80837.txt,31022025,23,1,1,"Philosophie, 5 / Psychologie, 1",1,"","",Emo_Ident2.2025-02-14-1618.data.8047072b-06b7-44d4-b44f-76f38aa80837.txt,1,Verständliche Instruktionen; keine Unsicherheiten bezüglich der Aufgabe,Ich habe die Augen geschlossen und die Klangfarbe der Stimme bewertet. Ich habe mir Szenen und Personen zu den Stimmen vorgestellt.,O,H,B,7,4,E,"",2025-01-14-17-09,2025-02-14-16-09,2025-02-14-16-23,14
s.8aaf2fb1-4999-44ad-a16c-ac27110589f4.txt,31022025,26,1,1,Psychologie,1,"","",Emo_Ident2.2025-02-20-1506.data.8aaf2fb1-4999-44ad-a16c-ac27110589f4.txt,1,"Manchmal schwierig, da es teilweise wie die gleiche Stimme wirkte, bloß verzerrt/mit einem Filter; ist das dann schon eine ""andere"" Stimme oder nicht, da es ja die ""gleiche"" Person ist","",U,H,H,5,2,O,"",2025-01-20-15-59,2025-02-20-14-59,2025-02-20-15-09,10
s.90b1240b-7d8a-4975-8135-442caa7b0589.txt,31022025,"","","","","","","","","","","","","","","","","","",2025-01-18-15-11,2025-02-18-14-11,"",""
s.94dd9d4d-5621-4d23-ba8c-8fa5e436e90b.txt,31022025,"",1,1,"",1,"","",Emo_Ident2.2025-02-13-1354.data.94dd9d4d-5621-4d23-ba8c-8fa5e436e90b.txt,1,"","",T,I,N,E,0,3,"",2025-01-13-14-46,2025-02-13-13-45,2025-02-13-13-54,9
s.9e3db084-04ac-4882-bf14-1c712412b9ea.txt,31022025,19,1,"","","","","","","","","","","","","","","","",2025-01-14-16-49,2025-02-14-15-49,"",""
s.a28c2709-45fa-44de-8b29-f0f50e6ba7f7.txt,"","","","","","","","","","","","","","","","","","","",2025-01-14-14-35,2025-02-14-13-35,"",""
s.a2c91b02-d200-41e7-9c97-7c46b55bfc72.txt,31022025,21,1,1,"Psychologie HF, 1.Semester",1,"","",Emo_Ident2.2025-02-15-0737.data.a2c91b02-d200-41e7-9c97-7c46b55bfc72.txt,3,- es war verständlich,"- ich habe versucht, zwischen den verschiedenen Stimmen zu diskriminieren, fand es aber schwierig, wenn diese länger gezogen wurden oder sich die Frequenz geändert hat",A,C,B,5,2,R,"",2025-01-15-08-29,2025-02-15-07-29,2025-02-15-07-41,12
s.ae935e21-2731-4c74-8e35-5a73c9c6e321.txt,31022025,18,1,1,"Psychologie, 1",1,"","",Emo_Ident2.2025-02-14-1453.data.ae935e21-2731-4c74-8e35-5a73c9c6e321.txt,1,war verständlich und eindeutig,"keine Strategie, auf das Bauchgefühl gehört",T,S,K,8,6,N,"",2025-01-14-15-46,2025-02-14-14-46,2025-02-14-14-55,9
s.c059bc8b-946f-462e-8404-360af2609824.txt,31022025,28,1,1,"Psychologie, 8FS",1,"","",Emo_Ident2.2025-02-19-0236.data.c059bc8b-946f-462e-8404-360af2609824.txt,1,nein,"",A,S,B,0,7,E,"",2025-01-19-03-28,2025-02-19-02-27,2025-02-19-02-40,13
s.c25f7ce6-fbaf-470a-ba9f-f70fe05ec215.txt,31022025,19,1,1,"Psychologie (HF, Erstsemester)",1,"","",Emo_Ident2.2025-02-14-1541.data.c25f7ce6-fbaf-470a-ba9f-f70fe05ec215.txt,1,"","",E,U,H,8,4,I,"",2025-01-14-16-33,2025-02-14-15-33,2025-02-14-15-44,11
s.c56dfb63-0166-41e4-9c91-583b55f71196.txt,31022025,20,1,1,"Soziologie, Psychologie",1,"","",Emo_Ident2.2025-02-14-1219.data.c56dfb63-0166-41e4-9c91-583b55f71196.txt,1,"sehr verstädnlich, aber bisschen creepy Stimmen teilweise",sehr konzentriert auf Stimmfarbe gehört,E,B,A,2,1,E,"",2025-01-14-13-12,2025-02-14-12-12,2025-02-14-12-22,10
s.c70f2cb7-2a4a-4548-810f-3bc5955422d5.txt,31022025,22,1,1,"Psychologie, 1. FS",1,"","",Emo_Ident2.2025-02-14-1322.data.c70f2cb7-2a4a-4548-810f-3bc5955422d5.txt,1,die Instruktionen waren gut verständlich,- gehört ob die Silben gleich ausgesprochen wurden,A,S,S,9,1,A,"",2025-01-14-14-15,2025-02-14-13-15,2025-02-14-13-24,9
s.c9a689bd-08d6-4150-8b99-40ef2cc35234.txt,31022025,20,1,1,"HF: Soziologie, NF: Psychologie, 1. Semester",1,"","",Emo_Ident2.2025-02-15-1228.data.c9a689bd-08d6-4150-8b99-40ef2cc35234.txt,1,"Nein, alles so wie beschrieben.",Ob die Stimmfarbe ähnlich war.,A,J,W,1,2,A,"",2025-01-15-13-21,2025-02-15-12-21,2025-02-15-12-30,9
s.ca0b6799-eef8-449a-8a36-68aa18b87c91.txt,31022025,20,1,1,"Altertumswissenschaft/Psychologie, 2",1,"","",Emo_Ident2.2025-02-14-1217.data.ca0b6799-eef8-449a-8a36-68aa18b87c91.txt,1,Die teils unterscheidet Lautstärken (oder wahrgenommenen Entfernung der Stimme) waren etwas irritierend ,"Kadenz, Aussprache und Tonhöhe bzw. Tonart",E,G,W,2,2,A,"",2025-01-14-13-07,2025-02-14-12-07,2025-02-14-12-21,14
s.cb31dc67-f749-4b77-a87e-4510a6597cb3.txt,31022025,28,1,1,"Psychologie, 7",1,"","",Emo_Ident2.2025-02-14-1331.data.cb31dc67-f749-4b77-a87e-4510a6597cb3.txt,1,Nein,Keine,A,R,S,5,6,E,"",2025-01-14-14-24,2025-02-14-13-24,2025-02-14-13-34,10
s.d451504b-ccd4-4651-a4bd-b5a9b3602eb6.txt,31022025,19,1,1,Psychologie,1,"","",Emo_Ident2.2025-02-14-1558.data.d451504b-ccd4-4651-a4bd-b5a9b3602eb6.txt,1,"","",E,R,L,9,2,A,"",2025-01-14-16-51,2025-02-14-15-51,2025-02-14-16-01,10
s.dced1617-9ae9-4446-9b2d-46b140e09e49.txt,31022025,22,1,1,Psychologie 7,1,"","",Emo_Ident2.2025-02-14-1246.data.dced1617-9ae9-4446-9b2d-46b140e09e49.txt,1,nein nichts,nach der art und weise wie estwas gesprochen und betont wurde,A,O,B,8,6,E,"",2025-01-14-13-36,2025-02-14-12-36,2025-02-14-12-47,11
s.de572b5a-634b-448e-8d7f-01bdbe622231.txt,31022025,22,1,1,"Psychologie, 5",1,"","",Emo_Ident2.2025-02-14-1837.data.de572b5a-634b-448e-8d7f-01bdbe622231.txt,2,"Alle Instruktionen waren klar verständlich. Die Pseudowörter wurden so abgehackt abgespielt, dass ich teilweise nur ein Wort verstanden hab. Insgesamt hatte ich nicht das Gefühl, gut unterscheiden zu können, weil die technische Qualität nicht gepasst hat",keine,N,N,P,3,3,T,"",2025-01-14-19-28,2025-02-14-18-28,"",""
s.e004feb4-c6a3-4369-a1e6-b3839392218e.txt,31022025,19,1,1,"B.Sc Psychologie, 1 Semester",1,"","",Emo_Ident2.2025-02-20-1227.data.e004feb4-c6a3-4369-a1e6-b3839392218e.txt,1,"obwohl es Pseudowörter waren, waren diese teilweise abgehackt - man konnte teilweise nur das Ende der Wörter verstehen~~unterschiedliche Lautstärke und Tonqualität erschwert die Kategorisierung","keine wirkliche Strategie~~je länger ich über die Kategorisierung nachdachte, desto schwerer fiel sie mir, da ich die Stimmen sehr schnell vergass",O,N,F,0,0,A,"Stimmen sind leider ziemlich abgehackt, von manchen Wörtern hört man nur die letzte Silbe",2025-01-20-13-19,2025-02-20-12-19,2025-02-20-12-34,15
s.ecc8cbc1-459b-45bf-b44d-f36085f7b2b6.txt,31022025,23,1,1,"Psychologie B.Sc. (HF, 5. Sem.)",1,"","",Emo_Ident2.2025-02-18-1923.data.ecc8cbc1-459b-45bf-b44d-f36085f7b2b6.txt,1,war verständlich,nein,Y,H,P,9,1,A,"",2025-01-18-20-15,2025-02-18-19-15,2025-02-18-19-26,11
s.f13d2bdc-f3ab-48a0-b6d9-d9c672c6b93e.txt,31022025,24,1,3,Psychologie HF,1,"","",Emo_Ident2.2025-02-14-1210.data.f13d2bdc-f3ab-48a0-b6d9-d9c672c6b93e.txt,1,zwischen sehr unterschiedlich emotinalen Ausdrücken war ich immer verwirrt,"Ich habe keine Strategie entwicklelt, nur Intuition.",U,A,H,8,6,E,"",2025-01-14-13-02,2025-02-14-12-02,2025-02-14-12-13,11
s.f77d3e68-5e38-4e3f-8cc2-5329a51e3ce4.txt,31022025,21,2,1,Psychologie B.Sc,1,"","",Emo_Ident2.2025-02-15-1418.data.f77d3e68-5e38-4e3f-8cc2-5329a51e3ce4.txt,1,ja sehr verständlcih~~,"",R,P,A,7,0,A,"",2025-01-15-15-04,2025-02-15-14-03,"",""
s.f9e53c3e-cef3-4ceb-9796-8be7c860d7b9.txt,"","","","","","","","","","","","","","","","","","","",2025-01-14-15-43,2025-02-14-14-43,2025-02-14-14-45,2
s.fdf8e8bd-9c2b-4583-9ed2-0785c4c11be2.txt,31022025,19,2,1,"HF Psychologie B.Sc, 1",1,"","",Emo_Ident2.2025-02-15-1102.data.fdf8e8bd-9c2b-4583-9ed2-0785c4c11be2.txt,1,nein,"umso unterschiedlicher die Emotionen, desto deutlicher habe ich versucht hinzuhören",E,O,C,0,8,L,"",2025-01-15-10-19,2025-02-15-09-19,2025-02-15-11-05,106
