participant,intro_question1_1,LAge_1,LSex_1,LMotherLanguage_1,LStudyWork_1,LHearingDisabilitiesKnown_1,LHearingDisabilitiesKind_1,LHearingDisabilitiesConstraint_1,StartRatingExperiment_1,afterExp1AllSoundsPlayed_1,afterExp2InstructionsClear_1,afterExp3RatingEvaluation_1,afterExp3RatingEvaluation_2,afterExp3RatingEvaluation_3,afterExp3RatingEvaluation_4,afterExp3RatingEvaluation_5,afterExp3RatingEvaluation_6,afterExp3RatingEvaluation_7,afterExp3RatingEvaluation_8,afterExp4Strategy_1,LPartCode_1,LPartCode_2,LPartCode_3,LPartCode_4,LPartCode_5,LPartCode_6,Anmerkungen_1,country,CLIENT_start,TIME_start,TIME_end,TIME_total
s.2f7c2fb6-a959-4f44-911b-3af82bba77a4.txt, 0632021,39,1,1,Kinderkrnakenschwester/ B.s.c Pflege/Pflegeleitung 5.Sem.,1,"","",Bachelorarbeit.2021-07-12-0752.data.2f7c2fb6-a959-4f44-911b-3af82bba77a4.txt,1,"bei verzögerter Reaktion der Hinweis zu reagieren, erschien mir sehr schnell",4,2,2,5,1,3,5,2,habe oft die Augen geschlosseen~~achetet auf heben oder senken der Stimmen im Wort~~,"","","","","","","","DE, Germany","",2021-07-12-07-24,2021-07-12-07-57,33
s.7396240c-059d-4b9c-82e0-2f6cd7367f8e.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","DE, Germany","",2021-07-17-10-07,2021-07-17-10-07,0
s.9d2f53a9-a982-4310-a3cc-fb1d77efc59c.txt,0632021,21,1,1,"Psychologie,4.Fachsemester",1,"","",Bachelorarbeit.2021-07-03-1135.data.9d2f53a9-a982-4310-a3cc-fb1d77efc59c.txt,1,-Anweisungen waren verständlich und leicht zu befolgen,4,3,1,5,2,3,5,2,-keine Strategie~~-versucht nur nach Stimme zu werten,m,a,b,1,2,e,"","DE, Germany","",2021-07-03-11-09,2021-07-03-11-43,34
s.66ce4d53-5d65-450c-afcd-8aeee7e460ee.txt,0632021,24,1,1,"Augenoptik/Optometrie, 4. Fachsemester",1,"","",Bachelorarbeit.2021-07-11-1208.data.66ce4d53-5d65-450c-afcd-8aeee7e460ee.txt,1,"Alles verständlich, teilweise waren Sachen dabei, die weder wütend noch ängstlich waren",5,2,1,5,2,5,5,1,"Am Anfang hatte ich keine, aber sobald ich mir die Wörter gemerkt habe und ich diese plötzlich als Namen wahrgenommen habe, ist mir die Entscheidung deutlich einfacher gefallen. Außerdem war der Klang am Wortende häufig ausschlaggebend","","","","","","","Die Pausen waren gut, ich wurde recht müde und ohne die, hätte ich mich schlecht konzentrieren können. Kurzzeitig ist man sich unsicher mit seiner Entscheidung, obwohl es teilweise sehr eindeutig ist","DE, Germany","",2021-07-11-11-44,2021-07-11-12-14,30
s.7d26ae37-7b27-4d6e-8338-61e66999b145.txt,9753,"","","","","","","","","","","","","","","","","","","","","","","","","","","DE, Germany","",2021-07-08-18-46,2021-07-08-18-47,1
s.17bb6b8c-e2a6-47d6-89e2-4b4904ab529c.txt,0632021,20,1,1,Erziehungswissenschaft/Psychologie,1,"","",Bachelorarbeit.2021-07-18-1732.data.17bb6b8c-e2a6-47d6-89e2-4b4904ab529c.txt,1,alles verständlich,4,2,2,5,1,4,5,1,"",A,T,N,6,4,A,"","DE, Germany","",2021-07-18-17-11,2021-07-18-17-36,25
s.5485e70c-0c60-4c39-b787-3d960a84cedd.txt,0632021,26,1,1,Business Administration,1,"","",Bachelorarbeit.2021-07-09-2213.data.5485e70c-0c60-4c39-b787-3d960a84cedd.txt,1,"",5,2,5,5,1,1,5,1,"",A,S,S,5,5,I,zu lang,"DE, Germany","",2021-07-09-21-54,2021-07-09-22-15,21
s.b54af442-fc13-4d38-9dc6-4fe060c8dff1.txt,0632021,22,1,1,"Psychologie (HF,6)",1,"","",Bachelorarbeit.2021-06-30-1414.data.b54af442-fc13-4d38-9dc6-4fe060c8dff1.txt,1,"",2,1,1,4,1,2,3,3,"- dinge die fragend klangen eher als ängstlich interpretiert, wenn es keinen aggressiven Unterton gab",N,I,I,2,2,E,"","DE, Germany","",2021-06-30-13-55,2021-06-30-14-17,22
s.6ec518a3-a33b-4b42-b290-fc7e1eb5a13c.txt,0632021,19,1,1,"Erziehungswissenschaft/Psychologie,2",1,"","",Bachelorarbeit.2021-07-06-1514.data.6ec518a3-a33b-4b42-b290-fc7e1eb5a13c.txt,1,- es war verständlich~~- Nein gab es nicht,4,2,1,5,1,3,5,2,- wie langezogen das Wort war~~- wie laut geredet wurde,A,H,H,4,1,L,"","DE, Germany","",2021-07-06-14-46,2021-07-06-15-16,30
s.cc2f6997-81b7-430a-a2df-8143a7573d64.txt,0632021,21,2,1,"Angewandte Informatik/Psychologie, 2",1,"","",Bachelorarbeit.2021-07-06-1715.data.cc2f6997-81b7-430a-a2df-8143a7573d64.txt,1,"",5,2,1,5,1,4,5,1,"Zittern in der Stimme, Betonung, Höhe bzw. Tiefe des Satzanfangs oder -endes",E,N,B,1,0,A,"","DE, Germany","",2021-07-06-16-55,2021-07-06-17-20,25
s.cdf0e6bc-11e9-4a17-b076-96b7d2455d99.txt,0632021,26,2,1,Verwaltungswirt,1,"","",Bachelorarbeit.2021-06-24-0026.data.cdf0e6bc-11e9-4a17-b076-96b7d2455d99.txt,1,"",4,2,1,4,1,5,5,2,"Stimmlage, Höhe - Tiefe, Weiblich-Männlich Unterscheidung, Gefühlte Aggresivität, Angst","","","","","","","","DE, Germany","",2021-06-24-00-05,2021-06-24-00-30,25
s.7159ac10-27b6-482b-ad2f-54acbb74c208.txt,0632021,24,1,1,"Master Ecology, Evolution and Conservation",1,"","",Bachelorarbeit.2021-06-21-1359.data.7159ac10-27b6-482b-ad2f-54acbb74c208.txt,1,"",5,2,1,5,1,4,5,1,"","","","","","","","","DE, Germany","",2021-06-21-13-37,2021-06-21-14-00,23
s.03845dc5-ffc9-407c-b6e0-52ed174eb9f4.txt,0632021,19,1,1,"Biotechnologie, 2. Fachsemester",1,"","",Bachelorarbeit.2021-07-09-1553.data.03845dc5-ffc9-407c-b6e0-52ed174eb9f4.txt,1,Alles war klar verständlich.,4,2,2,5,1,4,5,2,"die fiktiven Worte habe ich als Namen interpretiert, die gerufen wurden",i,b,M,2,3,n,"","DE, Germany","",2021-07-09-15-14,2021-07-09-16-02,48
s.099e272f-5efd-4d93-a56d-68c583a333b9.txt,0632021,24,1,1,"Psychologie, HF, 10. FS",1,"","",Bachelorarbeit.2021-06-18-1855.data.099e272f-5efd-4d93-a56d-68c583a333b9.txt,1,Alles gut :),4,2,2,5,1,3,5,2,"Zittern als klarer Indikator für Furcht, wenn ich unsicher war ","","","","","","","Es wäre vielleicht ganz gut, wenn man weiß, ab wann man auf eine Stimme reagieren darf - also entweder Instruktionen einfügen, dass erst nach Beendigung der Aussprache reagiert werden soll, oder eine Reaktion sofort ermöglichen - bei manchen sehr klaren Trials wollte ich super schnell drücken, allerdings hat das Programm die Reaktionen nicht immer so schnell angenommen, sodass dann 2x gedrückt werden musste, was potenziell die Reaktionszeit verfälschen könnte","DE, Germany","",2021-06-18-18-36,2021-06-18-18-58,22
s.fbd91601-1e17-4f1c-b6d9-b78d583e2f59.txt,0632021,26,2,1,"Student (Psychologie B.Sc., 4. Fachsemester)",1,"","",Bachelorarbeit.2021-06-16-1453.data.fbd91601-1e17-4f1c-b6d9-b78d583e2f59.txt,1,Instruktionen waren eindeutig und verständlich~~durch Übungsblock blieben keine offenen Fragen,4,2,1,5,1,4,4,2,keine Strategie aber manche Stimmen waren für mich eindeutig ängstlich/wütend,E,E,N,7,4,A,"","DE, Germany","",2021-06-16-14-21,2021-06-16-15-00,39
s.94175f0d-f1da-4b4d-8cb5-8f465e07bd07.txt, 0632021,22,2,1,"Soziologie/Psychologie, 2",1,"","",Bachelorarbeit.2021-07-15-1128.data.94175f0d-f1da-4b4d-8cb5-8f465e07bd07.txt,1,"nein, alles gut",5,2,1,5,1,4,5,1,Die Stimmen bekamen ein imaginäres Gesicht von mir. Somit wurden es Personen je öfter man eine Stimme gehört hat. ,U,E,J,3,3,I,"","DE, Germany","",2021-07-15-11-05,2021-07-15-11-33,28
s.51f9e8b6-3c24-4cb4-86e7-e6b464d57813.txt,0632021,23,1,1,"Soziale Arbeit, 6. FS",1,"","",Bachelorarbeit.2021-07-11-2016.data.51f9e8b6-3c24-4cb4-86e7-e6b464d57813.txt,1,"-sehr viel Text~~-hätte mich besser darauf vorbereitet gefühlt, wenn da gestanden hätte, dass während des Experimentes  da steht, wofür F & J nochmal jeweils stehen~~-sollte mir etwas komisch vorgekommen sein?~~-Schreibfehler ganz am Anfang ""Im"" (steht da) anstatt ""In""",4,2,2,4,1,4,5,2,-keine,"","","","","","","-würde gern die Auswertung erfahren bzw. was mit dieser Studie konkret bezweckt / erforscht wurde ~~-manche Stimmen hätte ich gar nicht ""wütend"" oder ""ängstlich"" zugeordnet ","DE, Germany","",2021-07-11-19-53,2021-07-11-20-20,27
s.d2d4cb4a-9a90-44df-9d39-bee650a68ecc.txt,0632021,25,1,1,Studentin Optometrie 6. FS,1,"","",Bachelorarbeit.2021-07-09-1602.data.d2d4cb4a-9a90-44df-9d39-bee650a68ecc.txt,1,nach Proberunde war alles klar,4,2,1,5,1,2,5,1,"Vorstellung, dass die Wörter Namen sind und ~~vorgestellt dass jemand jemanden mit diesem Namen ruft","","","","","","",Was versprechen Sie sich für Erkenntnisse aus dieser Studie?,"DE, Germany","",2021-07-09-15-39,2021-07-09-16-06,27
s.a41f51a6-eeb9-4919-afc3-d83cd5c4f798.txt,0632021,25,2,1,"Werkstofftechnik Master, 4. Semester",1,"","",Bachelorarbeit.2021-07-10-1334.data.a41f51a6-eeb9-4919-afc3-d83cd5c4f798.txt,1,Instruktionen verständlich. Stimmen hören sich gefiltert an.,3,3,3,5,1,4,5,3,"Habe mich bemüht, den selben Tonschnipsel immer gleich zu bewerten. Ich denke, die roten Schnipsel in denen immer die Frau wütend und der Mann ängstlich ist (oder umgekehrt), sollen den Hörer bewegen, die zweideutigen Schnipsel auch jeweils so zu bewerten. Wenn sich ein Schnipsel ungehalten jammernd anhört, habe ich zu wütend tendiert.","","","","","","","","DE, Germany","",2021-07-10-13-06,2021-07-10-13-39,33
s.3abdb086-0228-4271-955b-fffe32b2ad54.txt,0632021,21,1,1,"Erziehungswissenschaft/Psychologie, 2",1,"","",Bachelorarbeit.2021-07-09-1522.data.3abdb086-0228-4271-955b-fffe32b2ad54.txt,1,"nein, alles verständlich gewesen",4,4,4,3,4,5,5,4,nein,N,T,H,6,6,A,"","DE, Germany","",2021-07-09-15-01,2021-07-09-15-26,25
s.fbfefac1-9f42-4cd5-8468-cc224b0ead3a.txt,0632021,21,2,1,"Psychologie, HF, 6. Fachsemester",1,"","",Bachelorarbeit.2021-07-16-1155.data.fbfefac1-9f42-4cd5-8468-cc224b0ead3a.txt,2,"",3,2,2,3,1,2,4,2,Knarzen am Anfang -> Wut ~~Stimme am Ende nach oben -> Angst~~hohe Frequenz von Schwankungen -> Angst~~,O,P,H,1,2,I,"","DE, Germany","",2021-07-16-11-25,2021-07-16-11-58,33
s.84f33f50-c45f-4c62-9f04-f671f6b635ab.txt,0632021,19,1,1,Soziologie/Psychologie 2. FS,1,"","",Bachelorarbeit.2021-06-15-1714.data.84f33f50-c45f-4c62-9f04-f671f6b635ab.txt,1,alles war verständlich,5,3,1,5,1,3,5,1,ich habe keine Strategie entwickelt,E,T,B,4,0,N,"","DE, Germany","",2021-06-15-16-49,2021-06-15-17-17,28
s.95a68c7d-c346-48af-8248-66342e48f931.txt,0632021,22,2,1,Psychologie,1,"","",Bachelorarbeit.2021-06-23-0941.data.95a68c7d-c346-48af-8248-66342e48f931.txt,1,-Alles verständlich,2,2,1,5,1,1,5,3,- Nein,I,T,B,4,3,A,Das waren wirklich sehr viele Trials :-),"DE, Germany","",2021-06-23-09-21,2021-06-23-09-43,22
s.5048c2a0-a16b-410a-aa42-5ec3cf5c4201.txt,0632021,19,1,1,"HF soziologie, NF Psychologie",1,"","",Bachelorarbeit.2021-07-18-2331.data.5048c2a0-a16b-410a-aa42-5ec3cf5c4201.txt,1,sehr verständlich,4,3,3,4,2,2,4,2,"",o,l,w,0,9,a,"","DE, Germany","",2021-07-18-23-12,2021-07-18-23-35,23
s.458ef019-0bbf-4bb6-b3a4-85fdbc4259d9.txt,0632021,23,1,1,"Augenoptik, 4.Semester",1,"","",Bachelorarbeit.2021-07-09-1608.data.458ef019-0bbf-4bb6-b3a4-85fdbc4259d9.txt,3,"",5,3,3,4,2,3,5,1,"","","","","","","","","DE, Germany","",2021-07-09-15-47,2021-07-09-16-10,23
s.aa8d101c-2ed9-49ee-aa00-44a3c0b4600f.txt,0632021,27,2,1,Laser- und Optotechnologie 6. Fachsemester,1,"","",Bachelorarbeit.2021-06-29-1015.data.aa8d101c-2ed9-49ee-aa00-44a3c0b4600f.txt,1,Ich glaube ein paar mal habe ich spontan die falsche Taste gedrückt.~~Und manche Stimmen klangen eher genervt als wütend oder ängstlich (für mich zumindest),4,1,1,5,1,4,5,2,"","","","","","","","","DE, Germany","",2021-06-29-09-55,2021-06-29-10-17,22
s.3a29d8a5-5981-44d9-af21-bc84bf87a431.txt,0632021,26,2,1,Ausbildung zum Physiotherapeuten,1,"","",Bachelorarbeit.2021-06-23-1904.data.3a29d8a5-5981-44d9-af21-bc84bf87a431.txt,1,- klar und deutlich beschrieben~~- alles war einwandfrei verständlich~~- wird auch genug Zeit gegeben es zu verstehen ~~- nix komisches,5,2,1,5,1,5,5,1,- ich habe häufig daran entschieden ob die Stimme am Ende des Wortes intensiver geworden ist oder leiser~~- Viele Ausdrucksweisen konnte ich auf Leute in meinem Privatfeld zurückverfolgen~~- Rest war Intuition,E,R,N,1,5,E,:)~~eigentlich keine~~,"DE, Germany","",2021-06-23-18-37,2021-06-23-19-15,38
s.c5a7685b-f5bd-4559-9838-3cb490e400fd.txt,0632021,25,2,1,"Angewandte Informatik/Psychologie, 10",3,Tinnitus,1,Bachelorarbeit.2021-07-05-1806.data.c5a7685b-f5bd-4559-9838-3cb490e400fd.txt,1,"Manchmal habe ich bereits geklickt, da der Ton schon vorbei war, aber die Eingabe war noch nicht frei. Weshalb diese dann nicht registriert wurde und ""antworten sie schneller"" kam",4,3,4,2,2,2,4,1,"Lautstärke, Laute(o gegen a)...",L,H,J,3,1,E,"","DE, Germany","",2021-07-05-17-44,2021-07-05-18-09,25
s.cfcb42f4-2932-4935-b3eb-342a76304819.txt,0632021,22,1,1,"Lehramt (Politikwissenschaften, Englische Philologie, 6. Fachsemester)",1,"","",Bachelorarbeit.2021-07-08-1838.data.cfcb42f4-2932-4935-b3eb-342a76304819.txt,1,"klar verständlich ~~manchmal vertippt unter Zeitdruck, schnell zu reagieren",4,4,4,4,2,4,5,2,"Klang, Länge, Betonung ","","","","","","","","DE, Germany","",2021-07-08-17-58,2021-07-08-18-42,44
s.33f3079d-f89b-470d-8ae9-fe6cc77385c4.txt,0632021,20,1,1,"Psychologie HF, 2",1,"","",Bachelorarbeit.2021-07-07-1230.data.33f3079d-f89b-470d-8ae9-fe6cc77385c4.txt,1,- Instruktion verständlich,2,3,2,4,2,3,2,3,"- Lautstärke~~- ""Zittern"" in der Stimme",O,C,S,4,0,L,"","DE, Germany","",2021-07-07-12-09,2021-07-07-12-32,23
s.6c6e410b-b087-453b-9416-6791a64ea312.txt,0632021,20,1,1,Psychologie,1,"","",Bachelorarbeit.2021-07-05-1113.data.6c6e410b-b087-453b-9416-6791a64ea312.txt,1,"",4,1,2,5,1,3,5,1,"",A,E,C,2,2,A,"","DE, Germany","",2021-07-05-10-52,2021-07-05-11-14,22
s.c4b7a458-31d3-4d70-8ca7-af3bf275f26f.txt,0632021,24,2,1,B.Sc. Psychologie,1,"","",Bachelorarbeit.2021-07-17-1326.data.c4b7a458-31d3-4d70-8ca7-af3bf275f26f.txt,1,Es war alles verständlich,4,2,1,4,1,5,4,1,Am Anfang durch Intuition. Nach dem roten Kreuz Druchläufen habe ich stärkere Kontraste bekommen ,A,N,L,8,5,U,"","DE, Germany","",2021-07-17-13-03,2021-07-17-13-30,27
s.bce7d4fb-9212-43f9-80c3-3b8c265a517c.txt,0632021,23,1,1,"B.Sc. Psychologie, 6. Fachsemseter ",1,"","",Bachelorarbeit.2021-06-23-1246.data.bce7d4fb-9212-43f9-80c3-3b8c265a517c.txt,1,"",3,2,2,3,2,3,4,2,"",O,U,B,7,8,N,"","DE, Germany","",2021-06-23-12-27,2021-06-23-12-48,21
