"","S2.participant","S2.VPN_Code","S2.Anmerkungen","S2.InstructionsClear","S2.Strategy"
"22","378e0ec1","ISG73U",NA,"",""
"23","13b14b96","AEW18N",NA,"-alles sehr gut verständlich","-Lautstärke~~-Schwingung in der Stimmlage~~-Sprechgeschwindigkeit~~-Persönlichkeit hinter der Stimme"
"24","2e6416ca","ILA81A",NA,"",""
"25","7047c1ed","LYB13E",NA,"ja, nein, nein","- Stimme lauter = wütend, wenn leiser , dann eher ängstlich"
"26","ef7d8b8e","EBE20A",NA,"die Instruktionen waren verständlich~~es war alles klar und eindeutig","ich habe keine Strategie entwicklt~~ich habe immer nach gefühl entschieden"
"27","7b4fbe81","ICC68A",NA,"war alles klar verständlich, keinerlei Unsicherheiten","ich habe keine bewusste strategie entwickelt, vllt habe ich unterbewusst die stimmen mit den deutlichen angaben für wütend und ängstlich verglichen und dann entschieden wo mehr Ähnlichkeit besteht. "
"28","222be340","UHH52O",NA,"","intonation, stimmbrüche, länge des Wortes, Gefühle, die die Stimmen in mir ausgelöst haben"
"29","b17ab45b","AML49T",NA,"manchmal wurde der Tastendruck nicht akzeptiert bzw. nicht als solcher erkant. Musste dann mehrfach drücken","Ich habe darauf geachtet wie lange das wort ausgesprochen wurde. Auf Lautstärke geachtet bzw. wie kräftig das wort ausgesprochen wurde"
"30","09eb1a1e","ENP25E",NA,"alles gut","Ich habe versucht mir ein Bild mental vorzustellen. Ruft ein Elternteil im verlassenen Haus nach den Kindern ""Mulam"", ""Namil"" , ... oder stehen sie mit erhobener Hand vor den Kindern."
"31","87391946","OAO28e",NA,"keine Verständnisprobleme, nie unsicher","Rufe, die von leise zu laut tendierten, klangen wütender. Manche samples klangen nach einem Zittern ind er Stimme, die oft ängstlicher klingen."
"32","8ba27c51","ESB35I",NA,"","ob am Ende die Stimme hoch oder runter geht"
"33","8ae0586f","tib69a",NA,"-es war alles verständlichbei~~- bei dem hinzufügen des roten kreuzes und dessen funktion war ich kurz unsicher, aber hat sich schnell erklärt","- intensität/ dringlichkeit des tones ~~- zittern in der stimme ~~- sanfte/harte stimme ~~- lautstärke ~~- situationen in denen ich mir den gehörten ton vorstelle "
"34","793cdfea","ARB91A",NA,"",""
"35","ef1a9ec9","IOH85A",NA,"","wütende Stimmen eher knapp und aggressiver Tonfall ~~ängstliche oft mit zittern in der Stimmen, fragend (Ende des Wortes Intonation hoch), leiser und unischerer"
"36","5cb085af","IOO18A",NA,"","Bei Ängstlichkeit zB das Zittern der Stimmte und eine Schwäche in der Stimme und das Wort wurde eher lagn gezogen~~Bei Wut wurde das Wort eher knapp ausgesprochen mit einer starken Stimmte "
"37","ad831577","ELR77A",NA,"alles gut","keine Strategie"
"38","6107b5e7","IRL46E",NA,"Instruktionen waren verständlich",""
"39","d1475e5c","AAS62N",NA,"war alles super, hab es gut verstanden und war mir nicht unsicher","etwas nach Lautstärke und Sprechtempo bewertet"
"40","fabdcdab","AHB04I",NA,"","Stimmlage, Klang der Stimme, bildlich Situation vorstellen."
"41","a8e40580","UBG33N",NA,"","~~Aussprache, welche Buichstaben gezogen wurden, welcher Druck hinter der Stimme steckt"
"42","a7d1d9a6","INF84A",NA,"Instruktion verständlich~~keine unsicheren Momente","keine Strategie"
