"","S5.participant","S5.VPN_Code","S5.Anmerkungen","S5.InstructionsClear","S5.Strategy"
"25","94e12bc4","NANA","Bernadette","Hat alles gepasst. ALs das rote Fixationskreuz eingeführt wurde, war für mich nicht direkt verständlich, was passieren würde, aber durch den Übungsdurchgang wurde es dann klar, daher denke ich, dass es passt. Minimale Anmerkung: Ganz zu Anfang wurde nach Arbeit/Studium in HF/NF gefragt. Falls Personen mitmachen, die nicht studieren/studiert haben, könnte das verwirrend sein. Vielleicht könnte man das ausschreiben oder ""falls Studium:"" oder Ähnliches ergänzen. (Selbst ich musste kurz überlegen, was gemeint ist)","Nein. Bewertung nach Gefühl."
"26","7e9f73e1","AÄU22N","","Unterscheidung teilweise schwierig","bestimmt/ genervt zu wütend"
"27","0e5eee7f","NLA43N","","Es war alles jeder Zeit verständlich und ich wusste was zu tun ist.","oftmals habe ich mich wahrscheinlich von den zuvor gehörten stimmen leiten lassen, besonders wenn mir die Stimme neutral vor kam "
"28","f4b40040","IEB82N","","","Betonung der einzelnen Laute"
"29","a25ac151","LVB62E","","","Tonhöhe, da bei den ängstlichen Stimmen die stimme am Ende des wortes manchmal nach oben ging"
"30","b1d0fc72","OTL02Y","","",""
"31","b76cbe8c","EHP34A","","- es war alles super","- Lautstärke~~- Klang~~- wie lang Wort gezogen wurde"
"32","7196387f","DRD97R","","alles eindeutig","ich habe versucht die Stimmen in Relation zueinander zu stellen und zu vergleichen und darauf geachtet, ob die Stimme am Ende des Wortes hoch geht"
"33","078321e4","EMJ48N","","Instruktionen waren verständlich","Nein, ich habe versucht, immer intuitiv zu antworten"
"34","4a557e55","AVT93I","","Ja, manchmal wurde keine Stimme abgegeben und trotzdem eine Bewertung angefordert; in solchen Fällen habe ich die vorherige Stimme erneut bewertet.","Tonalität und Tiefe der Stimmen haben meine Bewertungen beeinflußt."
"35","57f1647c","NLH37E","","instruktionen war sehr verständlich, 3-5 mal wurden die stimmen nicht abgespielt ","alles was unsicher/ fragend wirkte habe ich als ängstlich kategorisiert. alles was energisch oder bestimmt klang als wütend. wo ich die emotionen nicht raushören konnte ist meist eher bei wütend gelandet."
"36","c6e3e6cb","MOD34N","","es war alles verständlich nichts war komisch","Höhe und teife der Stimme und mit welcher Stärke /Ausdruck das Wort gesagt wurde"
"37","133bd49c","URC73E","","","Fast immer, wenn die Stimme am Ende hoch geht, habe ich das Gefühl, dass die Person unsicher ist und deswegen kann die Ängstlichkeit such erhöhen. Darum habe ich bei manchen Stimmen, die am Ende höher gesprochen wurde, als ""ängstlicht"" geklickt."
"38","1164514a","AIJ49Ä","","Die Instruktionen waren verständlich, man musste sich nur an die Aufgabe gewöhnen","ich habe auf die Stimmhöhe geachtet und ob das wort gegen Ende hin höher oder tiefer ausgespeochen wurde"
"39","8c61b433","RPO51A","","Die Reaktionszeit war zu begrenzt und manchmal war es weder wütend noch ängstlich","Ich habe meine Augen geschlossen. Dadurch war es leichter für mich."
"40","64c428dd","VEJ12N","","Es war alles verständlich.","Irgendwann fiel es mir leichter, die unterschiedlichen Personen zu erkennen und anhand der Stimmfarben zu entscheiden, welche Person spricht. Danach habe ich dann entschieden, ob dies die wütende oder die ängstliche Variante ist."
"41","7e993b6e","ZMM89A","","Es war alles klar! Es schien, als wären einige Stimmen neutral und so fand ich sie schwer zuzuordnen.","Als die Stimmen nacheinander abgespielt wurden, konnte man besser bewerten. Wobei ich die Männerstimme einfacer einzuordnen fand. Er hat bei Angst eine höhere Stimme gehabt, beim Ärger war die Stimme rau. Außerdem hat er bei Angst langsamer gesprochen. Bei der Frau war das etwas anders, wenn ich mich richtig erinnere, ist ihre Stimme bei Angst schneller geworden. Manchmal konnte ich Wut und Angst nicht unterscheiden."
"42","880d6130","AHI16H","","",""
"43","fea49de0","LCP85R","Vielen Dank! Eine sehr interessante Studie!"," Die Instruktionen waren sehr verständlich!","Teilweise nach der Intonation(Stimme wird heller bei Angst und tiefer bei Wut)"
